Timing is on.
=== V1-Q1: Customer-level attribution report for a specific campaign ===
    customer_name     |           contact_info           | booking_date | booking_id |     campaign_name      
----------------------+----------------------------------+--------------+------------+------------------------
 Christopher Cooley   | isaiahwarren@example.net         | 2025-09-11   |      57013 | Romantic Paris Getaway
 Danielle Cameron     | mgregory@example.org             | 2025-09-11   |     287660 | Romantic Paris Getaway
 Darryl Erickson      | stephenhudson@example.com        | 2025-09-11   |      97030 | Romantic Paris Getaway
 Debbie Morgan        | vberry@example.net               | 2025-09-11   |     280911 | Romantic Paris Getaway
 Hannah Ware          | dylanmarshall@example.org        | 2025-09-11   |     146501 | Romantic Paris Getaway
 Janet Wall           | catherine89@example.com          | 2025-09-11   |      12826 | Romantic Paris Getaway
 Jeffrey Nichols      | brockstephanie@example.org       | 2025-09-11   |     223268 | Romantic Paris Getaway
 Johnny Snyder        | williamgarcia@example.org        | 2025-09-11   |     169970 | Romantic Paris Getaway
 Melanie Cummings     | heidi38@example.com              | 2025-09-11   |     245796 | Romantic Paris Getaway
 Melissa Crawford     | laura38@example.net              | 2025-09-11   |     396947 | Romantic Paris Getaway
 Paul Nelson MD       | estafford@example.net            | 2025-09-11   |     111069 | Romantic Paris Getaway
 Thomas Middleton     | teresa66@example.net             | 2025-09-11   |      75503 | Romantic Paris Getaway
 Ana Allen            | masonchristine@example.net       | 2025-09-10   |     227613 | Romantic Paris Getaway
 Eric Morton          | davidholloway@example.org        | 2025-09-10   |     387068 | Romantic Paris Getaway
 John Chandler        | novakmartha@example.net          | 2025-09-10   |     239406 | Romantic Paris Getaway
 Julian Cox           | bradyjohn@example.net            | 2025-09-10   |     231749 | Romantic Paris Getaway
 Mary Landry          | turnermichael@example.org        | 2025-09-10   |     318856 | Romantic Paris Getaway
 Michael Thomas       | john37@example.org               | 2025-09-10   |      57887 | Romantic Paris Getaway
 Rachael Smith        | matthewprice@example.com         | 2025-09-10   |     138468 | Romantic Paris Getaway
 Allison Sparks       | cordovakayla@example.org         | 2025-09-09   |     138599 | Romantic Paris Getaway
 April Young          | adennis@example.org              | 2025-09-09   |     386253 | Romantic Paris Getaway
 Brady Buchanan       | dalegarrett@example.net          | 2025-09-09   |     326745 | Romantic Paris Getaway
 Diane Ortiz          | quinnsharon@example.org          | 2025-09-09   |      83356 | Romantic Paris Getaway
 Frank Simpson        | rileyvirginia@example.org        | 2025-09-09   |     349051 | Romantic Paris Getaway
 Jeffrey Ferguson     | jacob60@example.net              | 2025-09-09   |     282304 | Romantic Paris Getaway
 John Quinn           | nicholas45@example.net           | 2025-09-09   |     260461 | Romantic Paris Getaway
 Lorraine Roberts     | karen56@example.org              | 2025-09-09   |       9680 | Romantic Paris Getaway
 Paul Burns           | kkirk@example.com                | 2025-09-09   |     188112 | Romantic Paris Getaway
 Robert Wilson        | dylan85@example.org              | 2025-09-09   |      48491 | Romantic Paris Getaway
 Sarah Green          | brandy80@example.org             | 2025-09-09   |       4421 | Romantic Paris Getaway
 William Martinez     | martinbrett@example.org          | 2025-09-09   |      22459 | Romantic Paris Getaway
 Carrie Spencer       | cynthiasantiago@example.org      | 2025-09-08   |     367996 | Romantic Paris Getaway
 Catherine Wright     | rbaxter@example.net              | 2025-09-08   |     184584 | Romantic Paris Getaway
 Frank Hurley         | esmith@example.org               | 2025-09-08   |     272986 | Romantic Paris Getaway
 Jennifer Keller      | marshrobert@example.com          | 2025-09-08   |      32715 | Romantic Paris Getaway
 Kevin Dunn           | lucasjulia@example.com           | 2025-09-08   |     304286 | Romantic Paris Getaway
 Paul Thomas          | john36@example.com               | 2025-09-08   |     119711 | Romantic Paris Getaway
 Richard Wilson       | nicolehall@example.org           | 2025-09-08   |     102235 | Romantic Paris Getaway
 Vincent Chandler     | robertmartin@example.net         | 2025-09-08   |     359499 | Romantic Paris Getaway
 Virginia Elliott     | yarroyo@example.net              | 2025-09-08   |     169800 | Romantic Paris Getaway
 Brett Cooper         | bjohnson@example.com             | 2025-09-07   |     374714 | Romantic Paris Getaway
 Brittney Lozano      | drakegary@example.com            | 2025-09-07   |       1305 | Romantic Paris Getaway
 Carlos White         | wellskathleen@example.net        | 2025-09-07   |     318295 | Romantic Paris Getaway
 Laura Duncan         | victorjenkins@example.org        | 2025-09-07   |     291379 | Romantic Paris Getaway
 Mary Carrillo        | joseph84@example.com             | 2025-09-07   |     248186 | Romantic Paris Getaway
 Robert Miller        | tonyahiggins@example.org         | 2025-09-07   |     151948 | Romantic Paris Getaway
 Thomas Ashley        | fsanders@example.com             | 2025-09-07   |      55565 | Romantic Paris Getaway
 Tiffany Jones        | cynthiahowell@example.org        | 2025-09-07   |     358706 | Romantic Paris Getaway
 Benjamin Peterson    | portermark@example.org           | 2025-09-06   |      74420 | Romantic Paris Getaway
 Deborah Nicholson    | zlopez@example.com               | 2025-09-06   |     204019 | Romantic Paris Getaway
 Edward Ryan          | tiffanybowman@example.net        | 2025-09-06   |     288544 | Romantic Paris Getaway
 Jesse Graham         | brianjackson@example.net         | 2025-09-06   |     140774 | Romantic Paris Getaway
 Lisa Lewis           | paul54@example.net               | 2025-09-06   |     145840 | Romantic Paris Getaway
 Timothy Guerrero     | josephharrison@example.net       | 2025-09-06   |       6564 | Romantic Paris Getaway
 Catherine Medina     | joshuawilliams@example.com       | 2025-09-05   |     279684 | Romantic Paris Getaway
 Crystal Miranda      | murphyjane@example.net           | 2025-09-05   |      14678 | Romantic Paris Getaway
 James Peterson       | uburke@example.net               | 2025-09-05   |     111781 | Romantic Paris Getaway
 Jessica Peterson     | laura13@example.com              | 2025-09-05   |     348578 | Romantic Paris Getaway
 Jonathan White       | april39@example.net              | 2025-09-05   |     298624 | Romantic Paris Getaway
 Mr. Samuel Mora      | sgordon@example.com              | 2025-09-05   |     118419 | Romantic Paris Getaway
 Robert Keith         | brad99@example.org               | 2025-09-05   |      49588 | Romantic Paris Getaway
 Teresa Harris        | mckinneycaroline@example.com     | 2025-09-05   |      87814 | Romantic Paris Getaway
 Terri Wilkinson      | ronald24@example.com             | 2025-09-05   |     160017 | Romantic Paris Getaway
 Tracey Fernandez     | bakerrichard@example.net         | 2025-09-05   |     220081 | Romantic Paris Getaway
 Amy Chavez           | emcbride@example.net             | 2025-09-04   |      92970 | Romantic Paris Getaway
 Christine King       | ttaylor@example.org              | 2025-09-04   |     334746 | Romantic Paris Getaway
 Eric Stout           | tanya00@example.net              | 2025-09-04   |      71036 | Romantic Paris Getaway
